Player_Name,Current_Season_Avg,Pct_Diff_from_Previous_Seasons,Pct_Diff_from_Current_Season,Normalized_Score
Bennedict Mathurin,20.32,-6%,-10%,-0.46
Marcus Smart,27.4,-8%,-3%,-0.49
Talen Horton-Tucker,23.06,13%,-23%,-0.49
Bogdan Bogdanovic,31.06,13%,-19%,-0.49
Evan Mobley,37.65,6%,-11%,-0.51
DeMar DeRozan,39.71,-4%,0%,-0.51
Gordon Hayward,30.43,4%,-14%,-0.51
RJ Barrett,24.89,-7%,-8%,-0.53
Spencer Dinwiddie,30.14,-6%,-6%,-0.58
Kristaps Porzingis,38.13,-8%,2%,-0.6
Jayson Tatum,44.61,-4%,1%,-0.6
Nikola Vucevic,36.18,-11%,4%,-0.6
Zion Williamson,38.03,-10%,4%,-0.62
Dillon Brooks,21.26,-12%,-8%,-0.62
Tre Jones,20.23,-24%,2%,-0.65
Jaren Jackson Jr.,34.11,-8%,-3%,-0.65
Dejounte Murray,39.91,-6%,-2%,-0.67
Jaylen Brown,36.9,-5%,-5%,-0.67
Dorian Finney-Smith,22.24,3%,-20%,-0.69
Kelly Oubre Jr.,23.9,-18%,-3%,-0.71
Nikola Jokic,62.16,5%,-5%,-0.78
Jordan Clarkson,25.83,-8%,-10%,-0.78
Reggie Jackson,23.57,9%,-26%,-0.78
Russell Westbrook,28.0,-25%,10%,-0.81
James Harden,43.21,-14%,8%,-0.87
Royce O'Neale,23.14,1%,-21%,-0.87
Cole Anthony,26.25,-5%,-16%,-0.87
Kyle Lowry,25.47,-19%,-3%,-0.9
Paul George,40.56,-5%,-9%,-0.97
Draymond Green,27.88,-13%,-10%,-1.04
Zach LaVine,33.22,-14%,-5%,-1.08
Herbert Jones,26.94,9%,-31%,-1.1
Norman Powell,20.0,-24%,-9%,-1.13
Jrue Holiday,32.86,-20%,-0%,-1.15
Damian Lillard,43.91,-8%,-8%,-1.2
Kevon Looney,19.49,-12%,-21%,-1.22
Kyle Anderson,20.39,-25%,-11%,-1.24
Josh Hart,22.0,-22%,-12%,-1.26
D'Angelo Russell,32.34,-8%,-19%,-1.33
Deandre Ayton,29.26,-17%,-12%,-1.4
LeBron James,49.21,-6%,-10%,-1.4
Chris Paul,29.33,-29%,4%,-1.45
Josh Giddey,25.09,-26%,-7%,-1.52
Klay Thompson,25.4,-23%,-14%,-1.58
T.J. McConnell,21.2,-14%,-31%,-1.68
John Collins,25.61,-16%,-24%,-1.72
Kevin Huerter,23.03,-15%,-30%,-1.79
Harrison Barnes,20.03,-22%,-25%,-1.81
Kyrie Irving,38.95,-20%,-10%,-1.93
Stephen Curry,40.82,-16%,-14%,-1.93
Killian Hayes,24.03,-1%,-51%,-2.23
Karl-Anthony Towns,38.19,-11%,-33%,-2.36
Jimmy Butler,36.67,-16%,-30%,-2.52
