PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,FG_PCT,FG3A,FG3_PCT,FT_PCT,DREB,PF,PLAYER_NAME,POSITION,MIN,FGM,FGA,FTM,FTA,FG3M,PTS,OREB,REB,AST,STL,BLK,TOV,FGM_PTS,FGA_PTS,FG3M_PTS,FTM_PTS,FTA_PTS,OREB_PTS,REB_PTS,AST_PTS,STL_PTS,BLK_PTS,TOV_PTS,PTS_PTS,TOTAL
1628966,2021-22,00,1610612759,SAS,26.0,59,14,0.517,55,0.309,0.754,169,61,Keita Bates-Diop,Forward,16.22,2.31,4.46,0.78,1.03,0.29,5.68,1.05,3.92,0.69,0.46,0.24,0.76,80.9,-44.6,0.7,6.2,-3.1,5.2,31.4,11.7,13.8,7.2,-11.4,28.4,126.4
1628966,2022-23,00,1610612759,SAS,27.0,67,42,0.508,142,0.394,0.793,183,63,Keita Bates-Diop,Forward,21.69,3.52,6.94,1.78,2.24,0.84,9.66,0.97,3.7,1.54,0.69,0.3,0.84,123.2,-69.4,2.1,14.2,-6.7,4.8,29.6,26.2,20.7,9.0,-12.6,48.3,189.4
1628966,2023-24,00,1610612756,PHX,27.0,10,4,0.434,22,0.318,0.692,24,15,Keita Bates-Diop,Forward,21.1,2.3,5.3,0.9,1.3,0.7,6.2,1.2,3.6,1.1,0.7,1.1,0.1,80.5,-53.0,1.8,7.2,-3.9,6.0,28.8,18.7,21.0,33.0,-1.5,31.0,169.6
201587,2008-09,00,1610612757,POR,20.0,79,76,0.446,168,0.369,0.808,136,139,Nicolas Batum,Guard-Forward,18.41,2.04,4.57,0.53,0.66,0.78,5.39,1.06,2.78,0.94,0.63,0.51,0.63,71.4,-45.7,2.0,4.2,-2.0,5.3,22.2,16.0,18.9,15.3,-9.4,27.0,125.2
201587,2009-10,00,1610612757,POR,21.0,37,25,0.519,132,0.409,0.843,109,83,Nicolas Batum,Guard-Forward,24.81,3.76,7.24,1.16,1.38,1.46,10.14,0.86,3.81,1.19,0.65,0.68,0.73,131.6,-72.4,3.6,9.3,-4.1,4.3,30.5,20.2,19.5,20.4,-11.0,50.7,202.6
201587,2010-11,00,1610612757,POR,22.0,80,67,0.455,342,0.345,0.841,252,194,Nicolas Batum,Guard-Forward,31.52,4.59,10.09,1.72,2.05,1.48,12.38,1.36,4.51,1.54,0.85,0.61,1.04,160.6,-100.9,3.7,13.8,-6.1,6.8,36.1,26.2,25.5,18.3,-15.6,61.9,230.3
201587,2011-12,00,1610612757,POR,23.0,59,34,0.451,274,0.391,0.836,190,105,Nicolas Batum,Guard-Forward,30.36,4.9,10.86,2.25,2.69,1.81,13.86,1.37,4.59,1.42,0.97,1.02,1.53,171.5,-108.6,4.5,18.0,-8.1,6.8,36.7,24.1,29.1,30.6,-23.0,69.3,250.9
201587,2012-13,00,1610612757,POR,24.0,73,73,0.423,444,0.372,0.848,315,139,Nicolas Batum,Guard-Forward,38.45,4.82,11.41,2.44,2.88,2.26,14.34,1.33,5.64,4.93,1.25,1.14,2.6,168.7,-114.1,5.6,19.5,-8.6,6.6,45.1,83.8,37.5,34.2,-39.0,71.7,311.0
201587,2013-14,00,1610612757,POR,25.0,82,82,0.465,402,0.361,0.803,495,156,Nicolas Batum,Guard-Forward,36.05,4.65,9.99,1.99,2.48,1.77,13.05,1.41,7.45,5.12,0.91,0.7,2.54,162.8,-99.9,4.4,15.9,-7.4,7.0,59.6,87.0,27.3,21.0,-38.1,65.2,304.8
201587,2014-15,00,1610612757,POR,26.0,71,71,0.4,309,0.324,0.857,354,106,Nicolas Batum,Guard-Forward,33.52,3.38,8.45,1.18,1.38,1.41,9.35,0.87,5.86,4.8,1.1,0.56,1.86,118.3,-84.5,3.5,9.4,-4.1,4.4,46.9,81.6,33.0,16.8,-27.9,46.8,244.2
201587,2015-16,00,1610612766,CHA,27.0,70,70,0.426,399,0.348,0.849,373,114,Nicolas Batum,Guard-Forward,34.97,5.31,12.47,2.33,2.74,1.99,14.94,0.79,6.11,5.76,0.93,0.61,2.93,185.8,-124.7,5.0,18.6,-8.2,4.0,48.9,97.9,27.9,18.3,-44.0,74.7,304.2
201587,2016-17,00,1610612766,CHA,28.0,77,77,0.403,405,0.333,0.856,435,109,Nicolas Batum,Guard-Forward,33.99,5.1,12.66,3.16,3.69,1.75,15.12,0.6,6.25,5.92,1.12,0.38,2.52,178.5,-126.6,4.4,25.3,-11.1,3.0,50.0,100.6,33.6,11.4,-37.8,75.6,306.9
201587,2017-18,00,1610612766,CHA,29.0,64,64,0.415,274,0.336,0.831,249,72,Nicolas Batum,Guard-Forward,30.95,4.22,10.16,1.69,2.03,1.44,11.56,0.89,4.78,5.45,1.02,0.36,2.05,147.7,-101.6,3.6,13.5,-6.1,4.4,38.2,92.6,30.6,10.8,-30.7,57.8,260.8
201587,2018-19,00,1610612766,CHA,30.0,75,72,0.45,298,0.389,0.865,319,140,Nicolas Batum,Guard-Forward,31.39,3.37,7.49,1.03,1.19,1.55,9.32,0.95,5.2,3.29,0.95,0.57,1.56,118.0,-74.9,3.9,8.2,-3.6,4.8,41.6,55.9,28.5,17.1,-23.4,46.6,222.7
201587,2019-20,00,1610612766,CHA,31.0,22,3,0.346,49,0.286,0.9,75,41,Nicolas Batum,Guard-Forward,22.95,1.27,3.68,0.41,0.45,0.64,3.59,1.14,4.55,3.0,0.77,0.36,1.0,44.4,-36.8,1.6,3.3,-1.4,5.7,36.4,51.0,23.1,10.8,-15.0,18.0,141.1
201587,2020-21,00,1610612746,LAC,32.0,67,38,0.464,272,0.404,0.828,266,102,Nicolas Batum,Guard-Forward,27.39,2.85,6.15,0.72,0.87,1.64,8.06,0.75,4.72,2.21,1.03,0.55,0.79,99.8,-61.5,4.1,5.8,-2.6,3.8,37.8,37.6,30.9,16.5,-11.9,40.3,200.6
201587,2021-22,00,1610612746,LAC,33.0,59,54,0.463,270,0.4,0.658,225,80,Nicolas Batum,Guard-Forward,24.8,3.03,6.56,0.42,0.64,1.83,8.32,0.49,4.31,1.69,0.98,0.71,0.68,106.0,-65.6,4.6,3.4,-1.9,2.4,34.5,28.7,29.4,21.3,-10.2,41.6,194.2
201587,2022-23,00,1610612746,LAC,34.0,78,19,0.42,317,0.391,0.708,237,149,Nicolas Batum,Guard-Forward,21.92,2.05,4.88,0.44,0.62,1.59,6.13,0.79,3.83,1.55,0.69,0.56,0.64,71.8,-48.8,4.0,3.5,-1.9,4.0,30.6,26.4,20.7,16.8,-9.6,30.6,148.1
201587,2023-24,00,0,TOT,34.0,8,2,0.583,21,0.524,0.0,21,16,Nicolas Batum,Guard-Forward,22.62,1.75,3.0,0.0,0.0,1.38,4.88,0.62,3.25,1.5,0.75,1.0,0.25,61.2,-30.0,3.4,0.0,-0.0,3.1,26.0,25.5,22.5,30.0,-3.8,24.4,162.3
201587,2023-24,00,1610612755,PHI,34.0,5,2,0.688,14,0.643,0.0,14,11,Nicolas Batum,Guard-Forward,25.4,2.2,3.2,0.0,0.0,1.8,6.2,1.0,3.8,1.4,0.6,0.8,0.2,77.0,-32.0,4.5,0.0,-0.0,5.0,30.4,23.8,18.0,24.0,-3.0,31.0,178.7
203078,2012-13,00,1610612764,WAS,20.0,56,46,0.41,236,0.386,0.786,168,113,Bradley Beal,Guard,31.16,5.04,12.27,2.23,2.84,1.62,13.93,0.77,3.77,2.45,0.89,0.52,1.61,176.4,-122.7,4.1,17.8,-8.5,3.8,30.2,41.7,26.7,15.6,-24.2,69.6,230.5
203078,2013-14,00,1610612764,WAS,21.0,73,73,0.419,343,0.402,0.788,219,153,Bradley Beal,Guard,34.66,6.59,15.74,2.04,2.59,1.89,17.11,0.74,3.74,3.33,0.97,0.25,1.75,230.6,-157.4,4.7,16.3,-7.8,3.7,29.9,56.6,29.1,7.5,-26.2,85.6,272.6
203078,2014-15,00,1610612764,WAS,22.0,63,59,0.427,259,0.409,0.783,184,136,Bradley Beal,Guard,33.44,5.76,13.51,2.06,2.63,1.68,15.27,0.9,3.83,3.08,1.21,0.29,1.95,201.6,-135.1,4.2,16.5,-7.9,4.5,30.6,52.4,36.3,8.7,-29.2,76.4,259.0
